answer,question,funFact
400000,Approximately how many known species of beetles exist on Earth?,Beetles account for roughly 25% of all known animal species on Earth.
95,How many confirmed moons does Jupiter have as of 2023?,"Jupiter's four largest moons — Io, Europa, Ganymede, and Callisto — were discovered by Galileo in 1610."
28.4°F [-2°C],At what temperature in degrees Fahrenheit does seawater freeze?,"Salt disrupts ice crystal formation, which is why oceans freeze at a lower temperature than freshwater."
7168,Approximately how many languages are spoken on Earth today?,"About half are spoken by fewer than 10,000 people, and many are critically endangered."
1971,In what year was the first email sent?,"Ray Tomlinson, who sent it, also introduced the @ symbol to separate the user name from the host address."
1929,In what year did the Black Tuesday stock market crash begin the Great Depression?,"By 1933, unemployment in the US had reached 25% — one in four workers had no job."
3,How many hearts does a common octopus have?,Two hearts pump blood to the gills; the third pumps it to the rest of the body. Their blood is blue due to copper-based hemocyanin.
99%,What percentage of all species that have ever lived on Earth are now extinct?,"Life has existed for about 3.8 billion years, and an estimated 5 billion species have come and gone."
"238,855 miles [384,400 km]",How many miles is the average distance from Earth to the Moon?,The Moon is slowly moving away from Earth at about 1.5 inches (3.8 cm) per year.
"2,786°F [1,530°C]",At what temperature in degrees Fahrenheit does iron melt?,"Iron's boiling point is 5,182°F — nearly twice its melting point."
12,How many Earth years does it take Saturn to complete one orbit around the Sun?,"Saturn's iconic rings are only about 10 meters thick on average, despite stretching 282,000 km in diameter."
1687,In what year did Isaac Newton publish his Principia Mathematica?,Newton reportedly conceived his theory of gravity in 1666 after observing a falling apple — though the story may be embellished.
1.3 million,Approximately how many Earths could fit inside the Sun?,The Sun makes up 99.86% of all the mass in our entire solar system.
8,How many years did it take to construct the Roman Colosseum?,"The Colosseum held 50,000–80,000 spectators and hosted gladiatorial contests for over 400 years."
150 million,How many hot dogs are consumed in the United States on July 4th each year?,Americans eat about 7 billion hot dogs total between Memorial Day and Labor Day each summer.
1440,In what year did Johannes Gutenberg introduce his movable-type printing press?,"Before his press, a single Bible took a monk years to copy by hand. Gutenberg reduced that to weeks."
1 million,What was the estimated peak population of ancient Rome?,That population level wasn't matched by another European city until London reached it in the 19th century.
"140,000 miles [225,308 km]",Approximately how many miles of railroad track exist in the United States?,That's enough to circle the Earth about 5.6 times and makes the US network the largest in the world.
4.5 billion,How many years old is the Earth approximately?,Earth formed from a swirling cloud of gas and dust about 4.5 billion years ago — roughly 9 billion years after the Big Bang.
2400,How many years ago was the city of Carthage founded approximately?,"Carthage was founded around 814 BCE by Phoenician settlers from Tyre, in what is now Lebanon."
37.2 trillion,How many cells are in the adult human body approximately?,"If all your cells were laid end to end, they would stretch about 620 miles."
1916,In what year was the first successful blood transfusion performed using stored blood?,"It was performed by Francis Rous and J.R. Turner during World War I, revolutionizing battlefield medicine."
27,How many amendments are in the United States Constitution?,"The 27th Amendment, ratified in 1992, was originally proposed in 1789 — a gap of 202 years."
"186,000 miles/s [299,792 km/s]",How many miles per second does light travel in a vacuum?,"Even at that speed, light from the Sun still takes about 8 minutes to reach Earth."
350 million,How many Christmas trees are currently growing on Christmas tree farms in the United States?,About 25 to 30 million real Christmas trees are sold in the US every year.
22 million,How many turkeys are cooked each Christmas?,
221 feet [67 m],How tall is the tallest Christmas tree ever recorded?,"The record was set in 1950 in Seattle — a Douglas fir over 221 feet tall, per the Guinness Book of World Records."
90%,What percentage of Americans celebrate Christmas each year?,"According to Pew Research Center, nine-in-ten Americans say they celebrate Christmas."
336 AD,In what year was the first Christmas celebration held?,"It was held in Rome on December 25th, 336 AD — making it over 1,600 years ago."
1670,In what year was the first candy cane invented?,A choirmaster in Cologne asked a candy maker to add a crook to sugar sticks so children would remember the shepherds who visited the infant Jesus.
364,How many gifts in total are given in the Twelve Days of Christmas song?,Each day's gifts are cumulative — adding up 1+3+6+10+15+21+28+36+40+45+55+66 gets you to 364.
733,How many different versions of Silent Night have been copyrighted since 1978?,It's the most-recorded Christmas song in history.
14700,How many people visit hospital emergency rooms each year for holiday decorating accidents?,According to the Consumer Product Safety Commission.
$967.13,How much does the average American spend on Christmas-related expenses each year?,According to the National Retail Federation's most recent data.
2007,In what year was the bald eagle officially removed from the U.S. endangered species list?,"By 1963 there were only 417 nesting pairs left in the contiguous U.S. Today there are over 300,000."
47,How many teeth does a standard mosquito have?,They aren't teeth like ours — they are sharp serrations on the proboscis used to saw through skin.
75 mph [121 km/h],What is the maximum recorded speed of a cheetah in miles per hour?,A cheetah can accelerate from 0 to 60 mph in just 3 seconds — faster than many sports cars.
645 days,How many days long is the gestation period of an African elephant?,Roughly 22 months — the longest gestation period of any land mammal on Earth.
2 million,On average how many flowers must a honeybee visit to produce one pound of honey?,"To collect enough nectar the bees will collectively fly about 55,000 miles."
400 lbs [181 kg],What is the average weight of an adult blue whale's heart in pounds?,It is roughly the size of a small bumper car and its heartbeat can be detected from 2 miles away.
4,How many compartments does a cow's stomach have?,"They are the rumen, reticulum, omasum, and abomasum, helping cows digest tough cellulose from grass."
43 feet [13 m],How long can a giant squid's tentacles grow in feet?,Giant squids also have the largest eyes in the animal kingdom — about the size of a frisbee.
5 minutes,How many minutes can a sea otter stay submerged on a single breath?,"While capable of 5 minutes, their typical dives only last about 1 to 2 minutes."
30000,How many lenses does a single dragonfly eye contain?,This incredible eye structure gives dragonflies nearly 360-degree vision.
177 years,What is the maximum recorded lifespan of a Galapagos tortoise in captivity?,"A famous tortoise named Harriet, said to have been collected by Charles Darwin, lived to roughly 175 years old."
50,How many bones make up a turtle's shell?,A turtle's shell is part of its skeleton — its ribcage and spine fused together.
70%,What percentage of a flamingo's body length is made up of its neck and legs combined?,Their long legs allow them to wade into much deeper water than most other birds to find food.
90 lbs [41 kg],How many pounds of food can an adult male lion eat in a single sitting?,After a meal that size a lion may sleep for up to 24 hours to digest it.
1400,How many species of bats exist in the world?,Bats make up roughly 20% of all classified mammal species on Earth.
0.03 mph [0.05 km/h],How many miles per hour can a garden snail travel at peak speed?,It would take a snail roughly 33 hours of continuous crawling to travel a single mile.
101.5°F [38.6°C],What is the average body temperature of a healthy domestic dog in degrees Fahrenheit?,"Because their baseline is higher than the human average of 98.6°F, dogs feel warm to the touch."
80,How many times per second does a hummingbird flap its wings during normal flight?,During courtship displays their wingbeats can spike up to 200 times per second.
40000,How many muscles are in a single elephant's trunk?,The human body has around 650 muscles total. An elephant's trunk is all muscle with no bones at all.
"220,000 miles [354,056 km]",What is the total length of Earth's coastline in miles?,Canada possesses the longest coastline of any country in the world.
15 days,How many consecutive days can a desert camel go without drinking water?,Camels can lose up to 30% of their body weight in water without dying.
66 million,How many millions of years ago did the non-avian dinosaurs go extinct?,The extinction was triggered by an asteroid roughly 6 to 9 miles in diameter striking what is now Mexico.
20%,What percentage of the world's oxygen is produced by the Amazon Rainforest?,Because of this output the Amazon is frequently called the Lungs of the Planet.
8,How many tentacles does a regular octopus have?,Biologists classify them as 6 arms and 2 legs — they use the back two to walk along the seafloor.
28 lbs [13 kg],How many pounds of bamboo does a giant panda eat in a single day?,Because bamboo is so low in nutrients pandas must spend up to 12 hours a day chewing it.
5 bpm,How many heartbeats per minute does a hibernating groundhog have?,During summer their active heart rate is closer to 80 bpm. Hibernation dramatically drops their metabolism.
"1,850 feet [564 m]",What is the maximum depth in feet that an Emperor Penguin can dive?,They can remain underwater for up to 20 minutes by shutting down non-essential organ functions.
13,How many spots does a classic convergent ladybug typically have?,Ladybug spots fade as they get older and warn predators that they taste terrible.
100,How many distinct sounds can a cat make?,By comparison domestic dogs can only make about 10 distinct vocalizations.
19 feet [6 m],How tall was the tallest recorded giraffe in history in feet?,Named George this giraffe arrived at Chester Zoo in 1959 from Kenya and barely fit in his enclosure.
200000,How many leaves are on a mature oak tree?,"A large oak can drop up to 700,000 acorns over its multi-century lifespan."
68 mph [109 km/h],What is the top swimming speed of a sailfish in miles per hour?,This makes the sailfish the absolute fastest swimming animal in the ocean.
95%,What percentage of a jellyfish's body is made entirely of water?,If a jellyfish washes up on a sunny beach it will almost completely evaporate within a few hours.
18,How many claws does a domestic cat have in total?,They have 5 claws on each front paw but only 4 on each back paw.
1.7 miles [3 km],How many miles away can a wolf smell its prey?,Under perfect weather conditions their sense of smell can stretch up to nearly 2 miles.
1681,In what year did the dodo bird go extinct?,The flightless bird was endemic to Mauritius and was wiped out within 100 years of humans arriving.
200 times,How many times its own height can a flea jump?,If a human had the same jumping ability they could leap over the Eiffel Tower.
0.001 lbs [0.45 g],How many pounds does a newborn kangaroo weigh?,At birth a baby kangaroo (joey) is only about the size of a single jellybean.
12,How many individual eyes does a caterpillar have?,They have 6 pairs of simple eyes called stemmata which can only distinguish light from dark.
"59,650 miles [95,997 km]",How many miles does an Arctic Tern travel on its annual migration?,This round trip from the Arctic to the Antarctic ensures the bird sees two summers every year.
2006,In what year was Pluto officially stripped of its status as a full planet?,It was reclassified as a dwarf planet because it hasn't cleared its neighboring region of other space debris.
867°F [464°C],What is the surface temperature of Venus in degrees Fahrenheit?,Venus is hotter than Mercury despite being farther from the Sun because of its thick greenhouse-effect atmosphere.
146,How many moons does Saturn have?,"Saturn holds the record for the most moons in our solar system, beating out Jupiter."
8 minutes,How many minutes does it take light from the Sun to reach Earth?,If the Sun went out right now we wouldn't know for over 8 minutes.
1969,In what year did Neil Armstrong walk on the Moon?,An estimated 650 million people watched the live television broadcast of the Moon landing worldwide.
300,What is the maximum possible score in a single game of ten-pin bowling?,Achieving a perfect 300 requires rolling 12 consecutive strikes in a row within a single game.
9500,How many active artificial satellites are currently orbiting Earth?,This number has skyrocketed due to commercial internet satellite constellations like Starlink.
687 days,How many days does it take Mars to complete one full orbit around the Sun?,A Martian year is almost double an Earth year because Mars orbits much farther from the Sun.
93 million miles [150 million km],How many miles from the Sun is Earth?,Astronomers designate this specific distance as exactly 1 Astronomical Unit or AU.
1986,In what year did the Chernobyl nuclear disaster occur?,"The exclusion zone surrounding the reactor spans roughly 1,000 square miles and remains largely uninhabitable."
100,How many lightning strikes hit Earth every single second?,That totals about 8.6 million lightning strikes hitting the planet every single day.
95%,What percentage of the universe is calculated to be made up of Dark Matter and Dark Energy?,Everything we can see and measure only accounts for the remaining 5% of reality.
16 times,How many times does the International Space Station orbit Earth in a single day?,The astronauts on board experience 16 sunrises and 16 sunsets every single day.
"5,173°F [2,856°C]",What is the boiling point of gold in degrees Fahrenheit?,"While gold melts at 1,948°F, turning it into vapor requires this extreme temperature."
1990,In what year was the Hubble Space Telescope launched into orbit?,A flawed mirror caused blurry images requiring a Space Shuttle repair mission in 1993 to fix it.
20,How many volcanic eruptions are actively occurring on Earth at any given moment?,While major eruptions grab headlines dozens of smaller fissures are continuously active under the oceans.
"25,020 mph [40,266 km/h]",What is the escape velocity needed to break free of Earth's gravity in miles per hour?,Rockets must reach roughly 7 miles per second to break out of orbit and travel into deep space.
374 miles [602 km],How many miles wide is Olympus Mons the largest volcano in our solar system?,It is so wide and flat that standing on its rim the base would curve completely past the Martian horizon.
1905,In what year did Albert Einstein publish his Special Theory of Relativity?,1905 is known as Einstein's Annus Mirabilis — he published four groundbreaking physics papers that year.
10 hours,How many hours does it take Jupiter to complete one full rotation on its axis?,Despite being the largest planet Jupiter has the shortest day of any planet in our solar system.
"35,876 feet [10,935 m]",How deep is the deepest known point in Earth's oceans — the Challenger Deep — in feet?,If you dropped Mount Everest into the Mariana Trench here its peak would still be covered by over a mile of water.
4.2 years,How many years does light from Proxima Centauri — the nearest star — take to reach Earth?,"Traveling there in the fastest spacecraft ever built by humans would still take roughly 73,000 years."
108 minutes,How many minutes long was Yuri Gagarin's historic first human spaceflight?,Gagarin orbited Earth exactly once before ejecting from his capsule and parachuting safely to the ground.
22 miles [35 km],What is the average thickness of Earth's continental crust in miles?,"Oceanic crust is much thinner, averaging only about 3 to 5 miles beneath the ocean floor."
3,How many known impact craters on Earth are larger than 100 miles wide?,"They are Vredefort in South Africa, Sudbury in Canada, and Chicxulub in Mexico — the dinosaur killer."
1989,In what year did Tim Berners-Lee invent the World Wide Web?,He wrote the initial proposal while working at CERN to help scientists share data more easily.
302 mph [486 km/h],What is the maximum wind speed ever recorded inside a tornado in miles per hour?,This was measured via radar during the Bridge Creek-Greenley tornado in Oklahoma in 1999.
44,How many individual bones make up the human skull at birth?,"As you grow these bony plates fuse together, leaving an adult skull with just 22 bones."
13.8 billion years,How old is our universe?,Scientists calculated this age by measuring the composition and expansion rate of the cosmic microwave background radiation.
22.6,How many times denser than water is Osmium — the densest natural element on Earth?,A standard bucket filled entirely with Osmium would weigh over 250 pounds.
1818,In what year was the first successful human blood transfusion performed?,British obstetrician James Blundell used a syringe to transfer blood from a husband to his hemorrhaging wife.
"1040 mph [1,674 km/h]",How fast is Earth spinning at its equator in miles per hour?,We don't feel this rotation because we and everything around us are moving along with it at a constant speed.
277 miles [446 km],How many miles long is the Grand Canyon along the river path?,At its widest the canyon spans 18 miles across and drops over a mile deep into the Earth.
-459.67°F [-273.2°C],What is Absolute Zero — the lowest temperature theoretically achievable — in degrees Fahrenheit?,At this temperature all molecular movement completely stops and no kinetic energy can exist.
70 million,How many copies has Michael Jackson's album Thriller sold worldwide?,It remains the best-selling studio album of all time.
1989,In what year did the first standalone episode of The Simpsons air?,The family originally appeared in short animated skits on The Tracey Ullman Show before getting their own series.
11,How many Oscars did the movie Titanic win at the 1998 Academy Awards?,It ties the all-time record for most Oscar wins with Ben-Hur and The Lord of the Rings: The Return of the King.
236,How many total episodes of the sitcom Friends were filmed?,By the final season each of the six main cast members was earning $1 million per episode.
1955,In what year did the original Disneyland park open in Anaheim California?,On opening day counterfeit tickets flooded the park causing massive overcrowding and food shortages.
108,How many cards are in a standard deck of UNO?,"The game was invented in 1971 by a barbershop owner named Merle Robbins in Reading, Ohio."
175 minutes,What is the total running time of The Godfather in minutes?,Paramount initially fought director Francis Ford Coppola to keep the film under two hours.
22,How many properties are available for purchase on a standard Monopoly board?,This count excludes the 4 railroads and 2 utility spaces — only the color-coded real estate.
1972,In what year was the first commercial home video game console the Magnavox Odyssey released?,It used plastic overlays that players physically stuck onto their TV screens to display game graphics.
225,How many total squares make up a standard Scrabble board?,"The board is a 15 by 15 grid, including all the premium double and triple scoring spaces."
1993,In what year was the hit song Macarena originally released?,"Though released in 1993 by Los del Río, the Bayside Boys remix didn't conquer global radio until 1995."
$15000,How much did the original Paranormal Activity movie cost to produce?,It grossed over $193 million worldwide on that tiny budget making it one of the most profitable films ever.
2006,In what year did Twitter first launch?,"The very first tweet was posted by co-founder Jack Dorsey on March 21, 2006: just setting up my twttr."
179,How many films did actor John Wayne appear in throughout his career?,Out of his massive filmography more than 140 were classic American Westerns.
45 feet [14 m],How tall is the Hollywood Sign in feet?,When built in 1923 the sign read HOLLYWOODLAND and served as an advertisement for a real estate development.
$500 million,How much did Netflix pay to acquire the streaming rights to Seinfeld?,The five-year deal kicked off in 2021 bringing all 180 episodes of the legendary sitcom to the platform.
1963,In what year did Marvel Comics publish its first issue of The Avengers?,"The original lineup by Stan Lee and Jack Kirby featured Thor, Iron Man, Ant-Man, the Wasp, and the Hulk."
60,How many stringed instruments are typically in a standard full symphony orchestra?,Strings make up well over half of the entire orchestra and provide the foundational acoustic body of the ensemble.
$200 million,What was the production budget of Pixar's Inside Out 2?,The investment paid off — the film grossed over $1.6 billion worldwide becoming the highest-earning animated film ever.
7,How many distinct characters did Eddie Murphy play in the 1996 comedy The Nutty Professor?,Murphy spent over 3 hours in the makeup chair daily to transform into various members of the Klump family.
1997,In what year was the first Harry Potter book published in the United Kingdom?,Only 500 copies were printed in the initial first run making original first editions highly valuable.
263 minutes,How many minutes long is the extended edition of The Lord of the Rings: The Return of the King?,"That's nearly 4.5 hours of film, adding 50 minutes of extra scenes not shown in theaters."
2005,In what year did YouTube officially launch?,"The first video ever uploaded was titled Me at the zoo, featuring co-founder Jawed Karim standing in front of elephants."
30,How many total clue boxes are on a standard Jeopardy! game board?,The grid contains 6 categories across each with 5 dollar-value clues stacking vertically.
1981,In what year did MTV make its official broadcasting debut?,The very first music video played was Video Killed the Radio Star by The Buggles.
24,How many studio albums did Elvis Presley release during his lifetime?,"This count only includes official studio releases, not his dozens of soundtrack albums and compilations."
7,How many spikes are on the crown of the Statue of Liberty?,The 7 spikes represent the 7 seas and the 7 continents of the world.
2001,In what year did the Apple iPod first hit shelves?,"The original had a mechanical scroll wheel and a 5 GB hard drive, advertised as 1,000 songs in your pocket."
22,How many Oscars did Walt Disney win personally during his career?,He holds the all-time record for most Academy Awards won by a single individual alongside 4 honorary Oscars.
60 feet [18 m],How long is a standard bowling lane from the foul line to the headpin in feet?,The lane is coated in a thin layer of protective oil in complex patterns to influence how the ball hooks.
2011,In what year did Minecraft receive its official full release?,Early versions were playable online as early as 2009 but the completed 1.0 version dropped in late 2011.
256,How many levels are in the original arcade version of Pac-Man before the game glitches?,Level 256 is impossible to beat — an 8-bit overflow error corrupts the right half of the screen into random symbols.
5960,What is the seating capacity of Radio City Music Hall's main hall?,When it opened in 1932 it was the largest indoor theater venue in the world.
2014,In what year did Taylor Swift release her album 1989?,Named after her birth year the album sold over 1.2 million copies in its very first week in the U.S.
20 hours,How many hours of raw footage was filmed to make The Blair Witch Project?,"The actors were left in the woods with cameras and given less information each day, then edited down to 81 minutes."
20,How many legal moves are available to white on the opening turn of a chess match?,This includes 16 pawn moves and 4 knight moves.
1912,In what year did the Titanic sink in the North Atlantic?,The ship was roughly 370 miles southeast of Newfoundland when disaster struck on its maiden voyage.
1989,In what year did the Berlin Wall fall leading to German reunification?,The wall stood for 28 years completely dividing the city of Berlin both physically and ideologically.
"1,250 feet [381 m]",How tall is the Empire State Building measured to its roof in feet?,"Including the antenna the building reaches a total height of 1,454 feet."
1492,In what year did Christopher Columbus first land in the Americas?,He originally made landfall in the Bahamas firmly believing he had sailed around the globe to the East Indies.
1192,How many islands make up the Maldives?,"Out of nearly 1,200 islands only about 200 are permanently inhabited with another 150 used as resorts."
3 days,How many days did the Battle of Gettysburg last?,"Fought July 1–3, 1863, it resulted in the largest number of casualties of any single battle in the Civil War."
"4,132 miles [6,650 km]",How many miles long is the Nile River?,The Nile holds the title of longest river in the world flowing through 11 African nations.
1776,In what year did the United States sign the Declaration of Independence?,While July 4 is celebrated as Independence Day most delegates didn't actually sign the document until August 2.
12,How many locks are built along the length of the Panama Canal?,These locks act as massive water elevators lifting ships 85 feet to match lake level before lowering them back down.
3,How many U.S. Presidents have been officially impeached by the House of Representatives?,"They are Andrew Johnson, Bill Clinton, and Donald Trump who was impeached twice. None were convicted by the Senate."
3 feet [0.9 m],What is the average elevation of the Netherlands in feet below sea level?,"Roughly one-third of the country sits below sea level, kept dry by a complex system of dikes and pumps."
79 AD,In what year was the ancient city of Pompeii buried by the eruption of Mount Vesuvius?,"The thick layer of volcanic ash perfectly preserved buildings, art, and even the positions of victims."
21 miles [34 km],How many miles wide is the narrowest point of the English Channel?,On clear days you can see the white chalk cliffs of Dover from the coast of France with the naked eye.
1,How many British monarchs have celebrated a Platinum Jubilee (70 years on the throne)?,"Queen Elizabeth II is the only British monarch in history to reach this milestone, celebrating it in 2022."
"965,000 sq miles [2,499,000 km²]",What is the total surface area of the Mediterranean Sea in square miles?,It connects to the Atlantic Ocean via the Strait of Gibraltar which is only 9 miles wide at its narrowest.
11,How many time zones does Russia span?,When a family on Russia's western side wakes up at 7 AM a family on the eastern side is sitting down to dinner.
3000,How many people were killed in the 1906 San Francisco Earthquake?,The vast majority of damage wasn't caused by the shaking itself but by uncontrollable fires that raged for days.
1789,In what year did the French Revolution begin with the storming of the Bastille?,At the time of the raid the notorious fortress prison held a grand total of just seven elderly prisoners.
1281,How many bridges span the historic canals of Amsterdam?,"This is more than triple the total number of bridges found in Venice, Italy."
38 minutes,How long did the shortest war in recorded history last?,The Anglo-Zanzibar War of 1896 broke out after the Sultan died and a replacement took power without British permission.
121 acres [49 ha],What is the total land area of Vatican City in acres?,It is completely landlocked by Rome and you can walk across the entire country in under 20 minutes.
1867,In what year did the United States purchase Alaska from the Russian Empire?,The U.S. paid $7.2 million — roughly 2 cents per acre for the massive land mass.
"2,448 miles [3,940 km]",How many miles long is Route 66?,Established in 1926 it ran from Chicago Illinois all the way to Santa Monica California.
887,How many stone statues (Moai) are scattered across Easter Island?,While most people picture only giant heads many of the statues have massive bodies buried underground.
"5,772 miles [9,289 km]",How many miles long is the Trans-Siberian Railway?,A non-stop journey from Moscow to Vladivostok along the full line takes roughly 7 full days of continuous travel.
1173,In what year did construction of the Leaning Tower of Pisa begin?,"Due to wars and economic halts construction took nearly 200 years to complete, finishing in 1372."
61,How many covered streets run through the Grand Bazaar in Istanbul?,"It is one of the largest and oldest covered markets in the world attracting over 250,000 visitors daily."
8000,How many terracotta warrior statues were buried near the tomb of the first Emperor of China?,"Discovered by farmers in 1974, every single clay warrior features completely unique facial features."
134°F [56.7°C],What is the maximum temperature ever recorded on Earth in degrees Fahrenheit?,"This blistering record was set on July 10, 1913 at Greenland Ranch in Death Valley California."
2560 BC,In approximately what year was the Great Pyramid of Giza completed?,"It stood as the tallest man-made structure in the world for over 3,800 years."
"2,300 miles [3,701 km]",How many miles from the coast of Chile is Easter Island?,It is one of the most remote inhabited islands in the world making its early Polynesian settlement remarkable.
"4,900 feet [1,494 m]",What is the average depth of the Mediterranean Sea in feet?,"Its deepest point is the Calypso Deep in the Ionian Sea plunging down to 17,280 feet."
1790,In what year was Washington D.C. established as the permanent capital of the United States?,The land was carved from Maryland and Virginia as a neutral federal territory specified by the Constitution.
1954,In what year did the first successful human organ transplant — a kidney — take place?,"The operation was performed by Dr. Joseph Murray in Boston between identical twins, eliminating rejection issues."
111 inches [281.9 cm],What is the recorded height of the tallest person in history Robert Wadlow in inches?,Wadlow stood 8 feet 11.1 inches tall due to an overactive pituitary gland that never stopped producing growth hormone.
100 mph [161 km/h],How fast can a human sneeze travel in miles per hour?,"A single sneeze can release up to 40,000 individual droplets into the surrounding air."
75%,What percentage of the human brain is made up of water?,"Even mild dehydration can immediately impact your focus, short-term memory, and processing speed."
1982,In what year was the first successful artificial heart — the Jarvik-7 — implanted into a human?,The recipient Barney Clark lived for 112 days after surgery while connected to a massive external air compressor.
10000,How many taste buds are on an average adult human tongue?,Taste buds are replaced roughly every two weeks but some stop regenerating entirely as you age.
4 minutes,How many minutes can the human brain survive without oxygen before permanent damage occurs?,After 4 to 6 minutes without oxygen brain cells begin to die rapidly making immediate CPR vital.
22 lbs [10 kg],How many pounds did the heaviest baby ever born to a healthy mother weigh?,Born in Italy in 1955 the baby boy weighed 22 lbs 8 oz and was perfectly healthy.
2022,In what year did the world's human population officially cross 8 billion?,It took all of human history until 1804 to hit 1 billion but only 11 years to jump from 7 to 8 billion.
6,How many muscles does it take to control a single human eye?,These extraocular muscles are the fastest and most active muscles in your entire body.
83,What is the world record for the most hot dogs eaten in 10 minutes set by Joey Chestnut?,Chestnut set this record in August 2024 during a televised head-to-head match against Takeru Kobayashi.
40 lbs [18 kg],How many pounds of skin does the average human shed over their entire lifetime?,Much of the common household dust that collects on furniture is actually dead human skin cells.
100000,How many individual hairs are on a standard human head?,"Blonds tend to have the highest count (~150,000) while redheads have the fewest (~90,000)."
264 hours,What is the longest a human has ever gone without sleeping in hours?,Set by 17-year-old Randy Gardner in 1964 for a high school science fair — 11 straight days awake.
